[now]: Application starting[now]: Application shutting down[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application starting[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[now]: Application shutting down[2021-03-30 12:04:24.805146]: Application starting
[now]: Application shutting down[2021-03-30 12:04:47.091251]: Application starting
[2021-03-30 12:04:48.199567]: Application starting
[2021-03-30 12:04:49.241421]: Application starting
[2021-03-30 12:04:50.481700]: Application starting
[2021-03-30 12:04:51.612892]: Application starting
[2021-03-30 12:04:52.707269]: Application starting
[2021-03-30 12:04:53.794165]: Application starting
[2021-03-30 12:04:54.874319]: Application starting
[2021-03-30 12:08:10.985216]: Application shutting down
[2021-03-30 13:03:28.364474]: Application shutting down
[2021-03-30 13:08:30.378275]: Application shutting down
[2021-03-30 13:20:05.706813]: Application shutting down
[2021-03-30 13:21:21.155104]: Application shutting down
[2021-03-30 13:21:23.755179]: Application shutting down
[2021-03-30 13:23:33.237414]: Application shutting down
[2021-03-30 13:25:53.839300]: Application shutting down
[2021-03-30 13:36:06.075379]: Application shutting down
[2021-03-30 14:44:44.276129]: Application shutting down
[2021-03-30 15:23:20.236969]: Application shutting down
[2021-03-30 16:17:00.591087]: Application shutting down
[2021-04-01 12:31:01.537186]: Application shutting down
